year,baseline,he/maestro,she/maestro,he/skipper,she/skipper,he/protege,she/protege,he/philosopher,she/philosopher,he/captain,she/captain,he/architect,she/architect,he/financier,she/financier,he/warrior,she/warrior,he/broadcaster,she/broadcaster,he/magician,she/magician,he/homemaker,she/homemaker,he/nurse,she/nurse,he/receptionist,she/receptionist,he/librarian,she/librarian,he/socialite,she/socialite,he/hairdresser,she/hairdresser,he/nanny,she/nanny,he/bookkeeper,she/bookkeeper,he/stylist,she/stylist,he/housekeeper,she/housekeeper
1800,0.0003606300798605283,0.0,0.0,0.0,0.0,0.0,0.0,0.09256630698176653,0.034770364345441215,0.1203518921150945,0.1010440761853766,0.06107972889238738,-0.026871207626900085,0.0,0.0,0.01717751379877588,6.638815104322495e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.06544932703033912,0.32687564550296616,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1810,0.0002753396249115193,0.0,0.0,0.0,0.0,0.0,0.0,0.14145709903980616,0.06310492968706453,0.17999842180598968,0.04982595948454011,0.022144322208642743,-0.2139419851691027,0.0,0.0,0.00010970856635868891,0.07571578895883929,0.0,0.0,0.0,0.0,0.0,0.0,0.0970968163619042,0.24313213311994036,0.0,0.0,-0.07064917595184902,-0.08933851247601497,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.05707668378935008,0.2902372715635051
1820,0.0002140664055450924,0.0,0.0,0.0,0.0,0.0,0.0,0.10286386610753198,-0.055702021948718004,0.14118154862899468,0.03768314186164506,0.1253497163466418,0.002684228010044347,0.0,0.0,0.06704348141722263,0.04672355434044352,0.0,0.0,0.1441400520760773,0.07775108802438846,0.0,0.0,0.044694000675354006,0.2867369763544338,0.0,0.0,0.11197357099253374,-0.0281606286643641,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.14818489292591772,0.24656650003577815
1830,0.00035779825943846165,0.0,0.0,0.0,0.0,0.0,0.0,0.1302689411776719,-0.031855550647913275,0.18182879703814514,0.05296804931193218,0.09109480556320022,-0.06681754848782664,0.0,0.0,0.13615845902333118,0.16272344161491945,0.0,0.0,0.08309968238661726,0.10674290529040494,0.0,0.0,0.07714788122996566,0.2889665797906331,0.0,0.0,0.10711540776686856,-0.038665575358072815,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.11889464817694916,0.2670235976623368
1840,0.00029645593502271983,0.0,0.0,0.0,0.0,0.0,0.0,0.15617876630491698,0.054810523157005575,0.19176588023400268,0.028381052069520598,0.10247150706569264,-0.026811672837163285,0.0,0.0,0.1742061842244478,0.047722665613186104,0.0,0.0,0.11410167177066156,0.08613306231212305,0.0,0.0,0.10366460019352042,0.18668845099062112,0.0,0.0,0.008914849367241729,-0.1071927542884608,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.15088364408010924,0.27403277699856676
1850,0.0009929322684339957,0.0,0.0,0.06118847113349891,0.08738961395078543,0.0,0.0,0.13111023948510564,0.0758431003485192,0.12155662901634744,-0.009971983365637573,0.1379454721761452,-0.09866898841066317,0.09420478165826197,-0.07171346241645504,0.1565292240080718,0.05606255536862371,0.0,0.0,0.13377150196549017,0.05324897814144624,0.0,0.0,0.09317512504702487,0.22639909306454187,0.0,0.0,0.08031359501226917,-0.13269372824870537,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.12490504829236405,0.16800416259002524
1860,0.0008240833417350295,0.0,0.0,0.14238580632190173,0.09988400247741804,0.0,0.0,0.13839185438396728,0.04576245946373171,0.17333932906294117,0.04189107463756082,0.069045833569389,-0.05372806856958488,0.04171317094052988,-0.01199155099770054,0.11767347033262657,0.03260921689136462,0.0,0.0,0.14965655363638358,0.058691846911868496,0.0,0.0,0.11976822468311048,0.26776956610748875,0.0,0.0,0.03138502202676403,-0.10105452860299413,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.21165738180104715,0.22443140586132837
1870,0.0013364012352148826,0.0,0.0,0.0906200166005925,0.09858315494610517,0.0,0.0,0.15176991961794462,-0.009868365006282678,0.13996248013160995,0.08245661064479838,0.09358976413693952,-0.09566664837243234,0.05182317608672698,-0.06938500283036644,0.11845220933259182,0.040170603458423715,0.0,0.0,0.0587611189610694,0.03665487485111876,0.0,0.0,0.06775351600694071,0.29208899387476894,0.0,0.0,0.054223208113222295,-0.10886008755386391,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.15897594059751788,0.24280223688131222
1880,0.002244130742059275,-0.006051682209638677,0.10157161227570383,0.10578358827154026,0.1784731879788373,0.0,0.0,0.21406969446434468,0.08639827871939652,0.1614279805652728,0.09790834720266449,0.044978669236472445,-0.022408861689378168,0.009682170750742989,-0.12982171439777937,0.13153563350091804,0.10516604650226284,0.0,0.0,0.10048271333556567,0.10448606347444635,0.0,0.0,0.11430902297928844,0.28836970252527694,0.0,0.0,-0.035506303794685695,-0.026764342259063604,0,0,0.0,0.0,0.082595901276663,0.16510851198216075,0.0,0.0,0,0,0.17309056259892636,0.2655470616759699
1890,0.0030928765068625815,0.0,0.0,0.12480007829942776,0.09029183797212818,0.0,0.0,0.2059827792130186,0.057368009709141875,0.20408625527225419,0.13058883934353377,0.1089198970488436,-0.007625837504897702,0.09841715882569668,-0.01335508924281457,0.1385132926745216,0.0707144312283826,0.0,0.0,0.07934349976292757,0.08673207878113866,0.0,0.0,0.13279205923715107,0.29241105463897293,0.0,0.0,0.04529545219669255,-0.0747448427109984,0,0,0.0,0.0,0.17349717971675008,0.2575043065149789,0.0,0.0,0,0,0.2194188487495766,0.3074625043862831
1900,0.005086557671888221,0.043628927178872304,0.04967971969314571,0.07624458391883128,0.13864123760149813,0.17552114620275192,0.15563131158153665,0.161138403963423,0.10908861326289895,0.16090158717846675,0.13470869883529468,0.15668235137715336,-0.009965811601108899,0.058284657249712546,-0.03229883859297102,0.06492669457209665,0.12182204700229253,0.0,0.0,0.09843731289283088,0.14475663254766372,0.0,0.0,0.11337247422691192,0.3261597428262892,0.0,0.0,0.034976741937944374,-0.029494892931082633,0,0,0.0,0.0,0.2521710181338963,0.2537417128198526,0.061018062361587945,-0.06474240285827487,0,0,0.18728504164385912,0.3546736022222283
1910,0.0029459823590218532,0.0,0.0,0.12350215789278579,0.14110081395055202,0.0,0.0,0.2354836715089545,0.11222899642886214,0.17277598925206866,0.12271313271984947,0.07279946146284592,-0.008979492633390236,0.047490214314382224,-0.03822679649815617,0.21996580533613475,0.10207109489204476,0.0,0.0,0.2108620982037907,0.17804347796953912,0.0,0.0,0.1761968638810793,0.27693270033841777,0.0,0.0,0.03465706047436293,-0.05807143308124818,0,0,0.0,0.0,0.0,0.0,0.10722094129521989,0.03775922159028067,0,0,0.23043884838972872,0.27180197307801757
1920,0.0028570046912316034,0.0,0.0,0.18219573063025454,0.18792784195835335,0.0,0.0,0.2106319443944827,0.0717877215498839,0.19716736267445584,0.2045588931841419,0.14035462683217634,-0.025319948214540464,0.08136611561847645,-0.03643675218086007,0.23595455707792687,0.1438561104606729,0.0,0.0,0.13306021691501527,0.08861647077471597,0.0,0.0,0.1830404105633311,0.2804382021717502,0.0,0.0,0.10857280209491565,-0.03417486682771178,0,0,0.0,0.0,0.0,0.0,0.10657832369089625,0.004092772338536174,0,0,0.22703741222677798,0.3462012103460489
1930,0.0023711274329899666,0.025030700914779363,-0.06141248282948183,0.24365153353420638,0.14169118854976936,0.0,0.0,0.19725286362219402,0.11187324466474462,0.1792541663316919,0.12132076123415647,0.0724731265070348,-0.03412889172879924,0.047443244197846006,-0.07904921251619848,0.12848101364851405,0.05369235508925137,0.0,0.0,0.20611832996192078,0.09562864514338568,0.0,0.0,0.15945539895363378,0.29636322708003165,0.0,0.0,0.10257469030740982,0.00640990742581122,0,0,0.0,0.0,0.0,0.0,0.10493887243157114,-0.004027606705789298,0,0,0.18818314072060957,0.22232858514495835
1940,0.002400972944110112,0.0,0.0,0.08598111124436632,0.1757764139328198,0.0,0.0,0.17917152121419608,0.07404396736541162,0.24762577175623124,0.17839618762223733,0.18199112498263553,0.05683657799431143,0.057737072539536555,-0.015415984468762734,0.12030837359784186,0.06189074003304638,0.0,0.0,0.18883197142609542,0.1542896062322373,0.0,0.0,0.12750855802626757,0.3016343701995064,0.0,0.0,0.12043381600706887,0.030121132577653465,0,0,0.0,0.0,0.0,0.0,0.08494381187465518,0.004953921141592973,0,0,0.24010695637726934,0.2362671318638477
1950,0.0065807924183513035,0.04290419788238812,0.054236337437458156,0.20591610133551888,0.17353047271942304,0.09238723163602486,0.003195952115240908,0.18294105629482948,0.0498491541601246,0.19799527153491514,0.16620013151457705,0.09099430162985045,-0.0794299528013775,-0.018855730874602534,-0.051558981291511034,0.18578635711074593,0.10283317574305387,0.0,0.0,0.15577212058052858,0.11864129209649348,0.0,0.0,0.14249385368820883,0.3179739065428083,0.0,0.0,0.06197460929099407,0.005109046204838586,0,0,0.0,0.0,0.0,0.0,0.12936252516706523,0.09186025166738922,0,0,0.21035383998470064,0.29029778210747326
1960,0.020208558468623117,0.009013457486136826,-0.02326152494658668,0.1444388805259915,0.13224144709503513,0.16383533165929273,0.10325842437743184,0.2330888941050275,0.06488587334891252,0.21594026526772897,0.1664838242961967,0.13040948175966546,-0.03708886250597947,0.03629204185760705,-0.059481477979453704,0.19564469732297765,0.07148377826243736,0.17371871187589039,0.06807302325451671,0.14117882806996498,0.10232356754728412,0.09100860520978538,0.13467586214719918,0.2096573798195443,0.2729221827169252,0.3925823440511633,0.35831496787957656,0.11630323819272918,0.03108114036254641,0,0,0.37970807884772934,0.37687081101388675,0.0,0.0,0.1338018810765998,0.0844985382997755,0,0,0.289809988972698,0.2804050102769359
